,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
alex,253.3336483,1571.126919,1695.249207,5937.892155,93.80128751,1608.90125,1695.249207,48.72530515,2139.535022,261.378214,1530.259706,1657.828422,217.0203976,282.9832846,667.7204702,362.8430417,310.42145,2429.075266,981.4834664,855.3130008,16470.57945
APPLE JUICE V3,,,,,,,,,,,,,,,,,,,,,55573.74621
Back of Class V2,259.7918481,1532.303664,1657.087578,5832.293559,97.08949102,1581.26312,1657.087578,52.80938587,2118.016598,229.7764562,1582.826239,1738.939323,220.2477642,266.2640399,631.3577071,360.7419076,286.6681028,2334.643034,894.757752,868.978485,16338.70986
benchmark,222.7751191,1501.891078,1620.545353,6056.449484,102.156758,1554.928287,1620.545353,47.90571267,2066.807992,280.5856539,1513.774526,1700.029496,213.39938,267.5456903,638.1851069,375.8424508,247.8419604,2173.266573,863.7759818,763.557848,15124.36224
chatgpt,,,,,,,,,,,,,,,,,,,,,51422.8279
first table v2,176.8665939,1274.786731,1368.590861,5690.177348,88.22456551,1298.645709,1368.590861,41.72184789,2509.193418,201.5559207,1145.620527,1132.135647,216.1576527,244.2770246,669.680369,301.5853051,221.3797473,1933.457651,940.0492102,740.3056902,13087.29985
hiccup v3,,,,,,,,,,,,,,,,,,,,,27291.8045
table at the back,,,,,,,,,,,,,,,,,,,,,17166.34786
table by the door-v4,,,,,,,,,,,,,,,,,,,,,15136.48922
